,models,params,mean_fit_time,mean_test_accuracy,mean_test_f1_macro,mean_test_geometric_mean_macro
117,DimReduct|RFC,"{'DimReduct__n_features': 118, 'RFC__random_state': 2357136044}",190.62083535194398,0.6736804524662791,0.5761097277283952,0.7110379970188323
84,DimReduct|RFC,"{'DimReduct__n_features': 85, 'RFC__random_state': 2357136044}",166.29534425735474,0.6736203603569018,0.5743816706975162,0.7105028184316106
76,DimReduct|RFC,"{'DimReduct__n_features': 77, 'RFC__random_state': 2357136044}",156.43736362457275,0.6735802329863798,0.5765120643175206,0.7109560049311258
115,DimReduct|RFC,"{'DimReduct__n_features': 116, 'RFC__random_state': 2357136044}",208.62505736351014,0.6735704013638341,0.5761779332152537,0.7117639146599406
98,DimReduct|RFC,"{'DimReduct__n_features': 99, 'RFC__random_state': 2357136044}",136.48472766876222,0.6735703310304493,0.5771913321924729,0.7121858682441813
124,DimReduct|RFC,"{'DimReduct__n_features': 125, 'RFC__random_state': 2357136044}",558.4487449169159,0.6735102549878732,0.5781103220380038,0.7126732862607905
132,DimReduct|RFC,"{'DimReduct__n_features': 133, 'RFC__random_state': 2357136044}",197.69899249076843,0.673500184215372,0.5767096197220587,0.7113683822998287
126,DimReduct|RFC,"{'DimReduct__n_features': 127, 'RFC__random_state': 2357136044}",236.06896071434022,0.6734000783219456,0.5784097434828639,0.7126608902217186
86,DimReduct|RFC,"{'DimReduct__n_features': 87, 'RFC__random_state': 2357136044}",144.4478268623352,0.6733899693168182,0.5758304048616408,0.7111006372678899
97,DimReduct|RFC,"{'DimReduct__n_features': 98, 'RFC__random_state': 2357136044}",137.0128800868988,0.6733898417025924,0.5765557943419413,0.7113680265270839
134,DimReduct|RFC,"{'DimReduct__n_features': 135, 'RFC__random_state': 2357136044}",218.68976159095763,0.6733296712158522,0.5757773221057205,0.7113376500325793
111,DimReduct|RFC,"{'DimReduct__n_features': 112, 'RFC__random_state': 2357136044}",151.51441378593444,0.6733295496224718,0.575959567982606,0.7108874424769634
81,DimReduct|RFC,"{'DimReduct__n_features': 82, 'RFC__random_state': 2357136044}",152.96548290252684,0.6732395154938764,0.5781033275281356,0.7126908102927999
89,DimReduct|RFC,"{'DimReduct__n_features': 90, 'RFC__random_state': 2357136044}",147.75270380973816,0.6731993800652725,0.5760939671315997,0.7112032543294091
